"","x"
"167",-0.103210032210226
"168",-0.0241622275761761
"169",-0.0399321926453326
"170",-0.142976960012756
"171",-0.161589162835578
"172",-0.169852941203264
"173",-0.0812930498489284
"174",-0.0953382373297095
"175",-0.111019266856233
"176",-0.101216807279608
"177",-0.0303099459714629
"178",-0.0419331736413872
"179",-0.130119216770379
"180",-0.122852016428015
"181",-0.021113399057384
"182",-0.0908134160736826
"183",-0.13834199738818
"184",-0.322746922003121
"185",-0.151715922433759
"186",-0.0573078124328295
"187",-0.143947298760507
"188",-0.243761604275858
"189",-0.142600897524722
"190",-0.137929861673892
"191",-0.0767526330757605
"192",-0.0844707642598211
"193",-0.0751247859582767
"194",-0.0731558716360728
"195",-0.0523467352848461
"196",-0.128758868026311
"197",-0.140974234108414
"198",-0.0733206175023879
"199",0.0101812396303543
"200",-0.15195817878082
"201",-0.144241608445874
"202",-0.0290404289415138
"203",-0.19845228988581
"204",-0.187941466458154
"205",-0.0435363246333891
"206",-0.173197264424781
"207",-0.0793641914495586
"208",-0.0972659298643933
"209",-0.112036009388259
"210",-0.104425891307096
"211",-0.107087420288447
"212",-0.0603319516451225
"213",0.0239944765048805
"214",-0.124792241759458
"215",-0.131950258136519
"216",-0.204714031701803
"217",0.00156334190181451
"218",-0.173987116630184
"219",-0.149085761280792
"220",-0.0731702562811892
"221",-0.0818186603683382
"222",-0.0149687726095796
"223",-0.107954606425961
"224",-0.0701727574464427
"225",0.00188605495504271
"226",-0.085799477912568
"227",-0.0238349302800494
"228",-0.0397331382819829
"229",-0.17799394727914
"230",-0.167520840190868
"231",-0.0858562725150202
"232",-0.0975981342636762
"233",-0.113870632577289
"234",-0.128389849605052
"235",-0.0449285491260223
"236",-0.14508405574425
"237",-0.15624230430133
"238",-0.132902918167543
"239",-0.0242965259996753
"240",-0.0743789362493806
"241",-0.203528928304916
"242",-0.11974275005268
"243",-0.115323732992316
"244",-0.0836289297406527
"245",-0.128995864144598
"246",-0.106485418583046
"247",-0.121698408917882
"248",-0.00258568135568738
"249",-0.116637524089219
"250",-0.0785566015339549
"251",-0.187524913132672
"252",-0.0607173447507151
"253",-0.0163454296311635
"254",-0.0299706104465961
"255",-0.0944336453208998
"256",-0.0723055880993491
"257",-0.190747953059827
"258",-0.099808003885164
"259",-0.140834346800808
